codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
80747;PROHW;Sem Categoria;HELICOPTERO;LEONARDO S.P.A.;AW139;A139;Nao Informado;Nao Informado;6800;6800;0;2011;BRASIL;BRASIL;HELICOPTERO;TAXI AEREO;MINISTRO VICTOR KONDER;FORA DE AERODROMO;CRUZEIRO;TAXI AEREO;NENHUM;0
80746;PRGXU;Sem Categoria;AVIAO;BOEING;737-8EH;B738;Nao Informado;BIMOTOR;65990;65990;0;2014;BRASIL;BRASIL;AVIAO;REGULAR;CONGONHAS;PINTO MARTINS;SUBIDA;REGULAR;NENHUM;0
80745;PRHGH;Sem Categoria;HELICOPTERO;EUROCOPTER FRANCE;AS 350 B2;AS50;TURBOEIXO;MONOMOTOR;2250;2250;6;2001;BRASIL;BRASIL;HELICOPTERO;ADMINISTRACAO DIRETA;FORA DE AERODROMO;FORA DE AERODROMO;OPERACAO DE SOLO;INSTRUCAO;LEVE;0
80744;PSFMG;Sem Categoria;AVIAO;BEECH AIRCRAFT;95-C55;BE55;Nao Informado;BIMOTOR;2404;2404;0;0;BRASIL;BRASIL;AVIAO;NAO REGULAR;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;TENENTE-CORONEL AVIADOR CESAR BOMBONATO;SUBIDA;TAXI AEREO;NENHUM;0
80743;PROHE;Sem Categoria;HELICOPTERO;SIKORSKY AIRCRAFT;S-92A;S92;TURBOEIXO;BIMOTOR;12020;12020;22;2012;BRASIL;BRASIL;HELICOPTERO;TAXI AEREO;PETROBRAS 51;SAO TOME;DECOLAGEM VERTICAL;TAXI AEREO;NENHUM;0
80742;LVGVA;Sem Categoria;AVIAO;FABRICANTE DESCONHECIDO;MODELO DESCONHECIDO;Nao Informado;Nao Informado;SEM TRACAO;0;0;0;0;ARGENTINA;ARGENTINA;AVIAO;REGULAR;JORGE NEWBERY AIRFIELD;ANTONIO CARLOS JOBIM / GALEAO;APROXIMACAO FINAL;REGULAR;NENHUM;0
80742;N776AV;Sem Categoria;AVIAO;FABRICANTE DESCONHECIDO;MODELO DESCONHECIDO;Nao Informado;Nao Informado;SEM TRACAO;0;0;0;0;COLÔMBIA;COLÔMBIA;AVIAO;REGULAR;ANTONIO CARLOS JOBIM / GALEAO;AEROPUERTO INTERNACIONAL EL DORADO;DECOLAGEM;REGULAR;NENHUM;0
81148;PRGXP;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;0;2014;BRASIL;BRASIL;AVIAO;REGULAR;CONGONHAS;SANTOS DUMONT;DECOLAGEM;REGULAR;LEVE;0
80740;PRYJC;Sem Categoria;AVIAO;AIRBUS S.A.S.;A321-251NX;A21N;JATO;BIMOTOR;93500;93500;0;2020;BRASIL;BRASIL;AVIAO;REGULAR;ALBERTO ALCOLUMBRE;VAL DE CANS / JULIO CEZAR RIBEIRO;APROXIMACAO FINAL;REGULAR;NENHUM;0
81147;PTXDN;Sem Categoria;AVIAO;LEARJET;45 (LEARJET 40);LJ40;JATO;BIMOTOR;9231;9231;9;2006;BRASIL;BRASIL;AVIAO;TAXI AEREO;SANTOS DUMONT;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA;SUBIDA;TAXI AEREO;LEVE;0
81144;PPBUS;Sem Categoria;AVIAO;CIRRUS DESIGN;SR22;SR22;PISTAO;MONOMOTOR;1542;1542;4;2010;BRASIL;BRASIL;AVIAO;PARTICULAR;LUIS EDUARDO MAGALHAES;FAZ. BRINQUINHO;CORRIDA APOS POUSO;PRIVADA;LEVE;0
81143;PPNNN;Sem Categoria;AVIAO;CESSNA AIRCRAFT;510;C510;JATO;BIMOTOR;3921;3921;6;2007;BRASIL;BRASIL;AVIAO;PARTICULAR;Comandante Rolim Adolfo Amaro;Comandante Rolim Adolfo Amaro;POUSO;PRIVADA;LEVE;0
80736;Sem Matricula;Sem Categoria;Desconhecida;FABRICANTE DESCONHECIDO;MODELO DESCONHECIDO;Nao Informado;Nao Informado;Nao Informado;0;0;0;0;BRASIL;BRASIL;Nao Informado;EXPERIMENTAL;CENTRO NACIONAL DE PARA-QUEDISMO;FORA DE AERODROMO;POUSO;EXPERIMENTAL;LEVE;0
80735;PTVUL;Sem Categoria;AVIAO;EMBRAER;EMB-202A;IPAN;PISTAO;MONOMOTOR;1800;1800;1;2011;BRASIL;BRASIL;AVIAO;AGRICOLA;NAO IDENTIFICADO;NAO IDENTIFICADO;DECOLAGEM;ESPECIALIZADA;NENHUM;0
80734;PRYRR;Sem Categoria;AVIAO;AIRBUS INDUSTRIE;A320-253N;A320;Nao Informado;Nao Informado;0;0;0;2018;BRASIL;BRASIL;AVIAO;REGULAR;GOVERNADOR ALUIZIO ALVES;VIRACOPOS;APROXIMACAO FINAL;REGULAR;NENHUM;0
81142;PTODZ;Sem Categoria;AVIAO;CESSNA AIRCRAFT;550;C550;JATO;BIMOTOR;6396;6396;10;1990;BRASIL;BRASIL;AVIAO;TAXI AEREO;ALTAMIRA;EDUARDO GOMES;APROXIMACAO FINAL;TAXI AEREO;LEVE;0
80731;PRAXC;Sem Categoria;AVIAO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2012;BRASIL;BRASIL;AVIAO;REGULAR;VIRACOPOS;TENENTE-CORONEL AVIADOR CESAR BOMBONATO;SUBIDA;REGULAR;NENHUM;0
80730;PRYRB;Sem Categoria;AVIAO;AIRBUS INDUSTRIE;A320-251N;A320;JATO;BIMOTOR;77000;77000;182;2016;BRASIL;BRASIL;AVIAO;REGULAR;ORLANDO BEZERRA DE MENEZES;GOVERNADOR ANDRE FRANCO MONTORO;APROXIMACAO FINAL;REGULAR;NENHUM;0
80729;PRAXZ;Sem Categoria;AVIAO;EMBRAER;ERJ 190-200 LR;E190;JATO;BIMOTOR;52290;52290;125;2013;BRASIL;BRASIL;AVIAO;REGULAR;GOVERNADOR ANDRE FRANCO MONTORO;AEROPORTO INTERNACIONAL CAPITAN CORBETA CA CURBELO;CRUZEIRO;REGULAR;NENHUM;0
80728;PPYBC;Sem Categoria;AVIAO;BOEING;737-3L9;B733;Nao Informado;SEM TRACAO;65990;65990;0;1988;BRASIL;BRASIL;AVIAO;REGULAR;PROFESSOR URBANO ERNESTO STUMPF;VIRACOPOS;SUBIDA;NAO REGULAR;NENHUM;0
81136;PSNCM;Sem Categoria;AVIAO;BEECHCRAFT;C90GTI;Nao Informado;TURBOELICE;SEM TRACAO;4756;4756;0;0;BRASIL;BRASIL;AVIAO;PARTICULAR;MINEIROS;TERMAS POUSADA DO RIO QUENTE;TAXI;PRIVADA;LEVE;0
81131;PRVZR;Sem Categoria;AVIAO;GULFSTREAM;GIV-X;Nao Informado;JATO;SEM TRACAO;33838;33838;0;0;BRASIL;BRASIL;AVIAO;TAXI AEREO;ANTONIO CARLOS JOBIM / GALEAO;ANTONIO CARLOS JOBIM / GALEAO;ESTACIONAMENTO;TAXI AEREO;LEVE;0
81131;PRWRO;Sem Categoria;AVIAO;GULFSTREAM AEROSPACE;GV-SP;GLF5;JATO;BIMOTOR;41277;41277;20;2009;BRASIL;BRASIL;AVIAO;TAXI AEREO;ANTONIO CARLOS JOBIM / GALEAO;PRESIDENTE JUSCELINO KUBITSCHEK;TAXI;TAXI AEREO;LEVE;0
81108;PTOIN;Sem Categoria;AVIAO;CESSNA AIRCRAFT;310R;C310;PISTAO;BIMOTOR;2495;2495;6;1980;BRASIL;BRASIL;AVIAO;PARTICULAR;EDUARDO GOMES;FLORES;CORRIDA APOS POUSO;PRIVADA;LEVE;0
81091;PTONZ;Sem Categoria;AVIAO;BEECH AIRCRAFT;A36;BE36;PISTAO;MONOMOTOR;1633;1633;6;1984;BRASIL;BRASIL;AVIAO;AGRICOLA;VAL DE CANS / JULIO CEZAR RIBEIRO;CARAJAS;TAXI;PRIVADA;LEVE;0
80718;PPITY;Sem Categoria;AVIAO;CESSNA AIRCRAFT;208B;C208;TURBOELICE;MONOMOTOR;3969;3969;11;1996;BRASIL;BRASIL;AVIAO;REGULAR;GUARARAPES - GILBERTO FREYRE;OSCAR LARANJEIRAS;CORRIDA APOS POUSO;REGULAR;NENHUM;0
81084;PTVNR;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PA34;PISTAO;BIMOTOR;2155;2155;6;1990;BRASIL;BRASIL;AVIAO;PARTICULAR;AERODROMO DE ITURAMA;AERODROMO NACIONAL DE AVIACAO;CORRIDA APOS POUSO;PRIVADA;LEVE;0
80715;PRAXP;Sem Categoria;AVIAO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2013;BRASIL;BRASIL;AVIAO;REGULAR;GUARARAPES - GILBERTO FREYRE;FERNANDO DE NORONHA;SUBIDA;REGULAR;NENHUM;0
80714;PRAUI;Sem Categoria;AVIAO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;0;2014;BRASIL;BRASIL;AVIAO;REGULAR;GOVERNADOR ANDRE FRANCO MONTORO;SANTOS DUMONT;SUBIDA;REGULAR;NENHUM;0
80713;PTXPO;Sem Categoria;AVIAO;AIRBUS INDUSTRIE;A321-211;A321;JATO;BIMOTOR;89000;89000;231;0;BRASIL;BRASIL;AVIAO;REGULAR;VAL DE CANS / JULIO CEZAR RIBEIRO;GOVERNADOR ANDRE FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
81081;PRXMW;Sem Categoria;AVIAO;BOEING;737-8 MAX;Nao Informado;JATO;SEM TRACAO;82644;82644;0;0;BRASIL;BRASIL;AVIAO;REGULAR;GOVERNADOR ANDRE FRANCO MONTORO;ORLANDO BEZERRA DE MENEZES;POUSO;REGULAR;LEVE;0
80711;PRTYV;Sem Categoria;AVIAO;FABRICANTE DESCONHECIDO;A320-214;A320;Nao Informado;SEM TRACAO;0;0;0;2015;BRASIL;BRASIL;AVIAO;REGULAR;GOVERNADOR ANDRE FRANCO MONTORO;PRESIDENTE JUSCELINO KUBITSCHEK;SUBIDA;REGULAR;NENHUM;0
