codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
82047;PRGXA;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2013;BRASIL;BRASIL;AVIAO;REGULAR;CAMPO GRANDE;CONGONHAS;DECOLAGEM;REGULAR;NENHUM;0
82045;PRGXX;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;Nao Informado;JATO;BIMOTOR;70533;70533;187;0;BRASIL;BRASIL;AVIAO;REGULAR;SANTOS DUMONT;AFONSO PENA;APROXIMACAO FINAL;REGULAR;NENHUM;0
82039;PSGPD;Sem Categoria;AVIAO;UNIVAIR AIRCRAFT;108-1;S108;Nao Informado;MONOMOTOR;1012;1012;0;0;BRASIL;BRASIL;AVIAO;REGULAR;PRESIDENTE JUSCELINO KUBITSCHEK;ANTONIO CARLOS JOBIM / GALEAO;APROXIMACAO FINAL;REGULAR;NENHUM;0
82038;PRGXF;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2013;BRASIL;BRASIL;AVIAO;REGULAR;PRESIDENTE JOAO BATISTA FIGUEIREDO;GOVERNADOR ANDRE FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
82037;PRGXI;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2013;BRASIL;BRASIL;AVIAO;REGULAR;CONGONHAS;DEPUTADO LUIS EDUARDO MAGALHAES;APROXIMACAO FINAL;REGULAR;NENHUM;0
82036;PRGUM;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;193;2011;BRASIL;BRASIL;AVIAO;REGULAR;REGIONAL HUGO CANTERGIANI;CONGONHAS;DECOLAGEM;REGULAR;NENHUM;0
82035;PRGUH;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;79015;79015;187;2011;BRASIL;BRASIL;AVIAO;REGULAR;SILVIO NAME JUNIOR;GOVERNADOR ANDRE FRANCO MONTORO;DECOLAGEM;REGULAR;NENHUM;0
81366;PSJCB;Sem Categoria;AVIAO;AIR TRACTOR;AT402B;Nao Informado;TURBOELICE;SEM TRACAO;3175;3175;0;0;BRASIL;BRASIL;AVIAO;AGRICOLA;JUINA;AERODROMO NAO CADASTRADO;CRUZEIRO;PRIVADA;DESTRUIDA;2
82033;PSGPG;Sem Categoria;AVIAO;CIA AERONAUTICA PAULISTA;CAP-4;PAUL;Nao Informado;MONOMOTOR;587;587;0;0;BRASIL;BRASIL;AVIAO;REGULAR;ANTONIO CARLOS JOBIM / GALEAO;GOVERNADOR ANDRE FRANCO MONTORO;CRUZEIRO;REGULAR;NENHUM;0
82032;PRGGL;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;197;2009;BRASIL;BRASIL;AVIAO;REGULAR;SANTOS DUMONT;CONGONHAS;APROXIMACAO FINAL;REGULAR;NENHUM;0
82031;PRGYA;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;187;0;BRASIL;BRASIL;AVIAO;REGULAR;GOVERNADOR ANDRE FRANCO MONTORO;PRESIDENTE JOAO BATISTA FIGUEIREDO;POUSO;REGULAR;NENHUM;0
82030;PRGXQ;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;186;2014;BRASIL;BRASIL;AVIAO;REGULAR;DEPUTADO LUIS EDUARDO MAGALHAES;GOVERNADOR ANDRE FRANCO MONTORO;APROXIMACAO FINAL;REGULAR;NENHUM;0
82029;PRGUJ;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;79015;79015;187;2011;BRASIL;BRASIL;AVIAO;REGULAR;HERCILIO LUZ;SANTOS DUMONT;DECOLAGEM;REGULAR;NENHUM;0
82028;PRXMP;Sem Categoria;AVIAO;BOEING COMPANY;737-248C;B732;Nao Informado;BIMOTOR;65990;65990;0;0;BRASIL;BRASIL;AVIAO;REGULAR;CONGONHAS;DEPUTADO LUIS EDUARDO MAGALHAES;POUSO;REGULAR;NENHUM;0
82027;PRGXT;Sem Categoria;AVIAO;BOEING;737-8EH;Nao Informado;JATO;BIMOTOR;0;0;0;2014;BRASIL;BRASIL;AVIAO;REGULAR;GOVERNADOR ANDRE FRANCO MONTORO;ORLANDO BEZERRA DE MENEZES;POUSO;REGULAR;NENHUM;0
82026;PRGGG;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;197;2009;BRASIL;BRASIL;AVIAO;REGULAR;SANTOS DUMONT;SALGADO FILHO;POUSO;REGULAR;NENHUM;0
82025;PRVBF;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;79000;79000;197;2008;BRASIL;BRASIL;AVIAO;REGULAR;ZUMBI DOS PALMARES;GOVERNADOR ANDRE FRANCO MONTORO;APROXIMACAO FINAL;REGULAR;NENHUM;0
82022;PRGGN;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;197;2009;BRASIL;BRASIL;AVIAO;REGULAR;GOVERNADOR ANDRE FRANCO MONTORO;ANTONIO CARLOS JOBIM / GALEAO;POUSO;REGULAR;NENHUM;0
82021;PRGEC;Sem Categoria;AVIAO;BOEING COMPANY;737-7EH;B737;JATO;BIMOTOR;66224;66224;156;2011;BRASIL;BRASIL;AVIAO;REGULAR;GOVERNADOR ANDRE FRANCO MONTORO;PELOTAS;POUSO;REGULAR;NENHUM;0
82017;PRGXW;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;0;2014;BRASIL;BRASIL;AVIAO;REGULAR;MINISTRO VICTOR KONDER;SANTOS DUMONT;POUSO;REGULAR;NENHUM;0
81268;PUATZ;Sem Categoria;AVIAO;TRIKE ICAROS IND. AERONAUTICA LTDA;ADVENTURE;ZZZZ;PISTAO;MONOMOTOR;495;495;2;2018;BRASIL;BRASIL;AVIAO;INSTRUCAO;FAZENDA VALE ELDORADO - DR JOSE DE AGUIAR LEME;AMERICANA;APROXIMACAO FINAL;INSTRUCAO;DESTRUIDA;0
81205;PPIRC;Sem Categoria;AVIAO;AIR TRACTOR;AT-502A;AT5T;TURBOELICE;MONOMOTOR;3629;3629;1;2017;BRASIL;BRASIL;AVIAO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;AGRICOLA;DESTRUIDA;1
81195;PTGOE;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-201;IPAN;PISTAO;MONOMOTOR;1800;1800;1;0;BRASIL;BRASIL;AVIAO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;AGRICOLA;DESTRUIDA;1
81058;PRATD;Sem Categoria;AVIAO;CESSNA AIRCRAFT;A188B;C188;PISTAO;MONOMOTOR;1900;1900;1;1977;BRASIL;BRASIL;AVIAO;ESPECIALIZADA;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;ESPECIALIZADA;DESTRUIDA;0
80858;PTIDG;Sem Categoria;AVIAO;CESSNA AIRCRAFT;182P;C182;PISTAO;MONOMOTOR;1338;1338;4;1972;BRASIL;BRASIL;AVIAO;PARTICULAR;NAO IDENTIFICADO;NAO IDENTIFICADO;OUTRA FASE;PRIVADA;DESTRUIDA;0
81891;PRPJN;Sem Categoria;AVIAO;EMBRAER;ERJ 190-400;E295;JATO;BIMOTOR;61500;61500;143;2019;BRASIL;BRASIL;AVIAO;REGULAR;SANTA GENOVEVA/GOIANIA;TANCREDO NEVES;APROXIMACAO FINAL;REGULAR;NENHUM;0
80838;PRJSM;Sem Categoria;AVIAO;AIR TRACTOR;AT-502;AT5T;TURBOELICE;MONOMOTOR;3629;3629;1;1992;BRASIL;BRASIL;AVIAO;AGRICOLA;Fazenda Vale;Fazenda Vale;MANOBRA;PRIVADA;DESTRUIDA;0
81881;PRTYJ;Sem Categoria;Desconhecida;AIRBUS;A320-214;Nao Informado;Nao Informado;SEM TRACAO;0;0;0;0;BRASIL;BRASIL;Nao Informado;REGULAR;TANCREDO NEVES;GOVERNADOR ANDRE FRANCO MONTORO;ESTACIONAMENTO;REGULAR;NENHUM;0
81880;PRSDT;Sem Categoria;AVIAO;BOEING COMPANY;737-4B6;B734;JATO;BIMOTOR;65990;65990;0;0;BRASIL;BRASIL;AVIAO;REGULAR;ANTONIO CARLOS JOBIM / GALEAO;DEPUTADO LUIS EDUARDO MAGALHAES;APROXIMACAO FINAL;REGULAR;NENHUM;0
80818;PTNSA;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-711B;P28R;PISTAO;MONOMOTOR;1248;1248;4;1979;BRASIL;BRASIL;AVIAO;PARTICULAR;ASSOCIACAO RECREATIVA FAZENDA BONANZA;ASSOCIACAO RECREATIVA FAZENDA BONANZA;DECOLAGEM;PRIVADA;DESTRUIDA;3
80813;PTUFA;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-201A;IPAN;PISTAO;MONOMOTOR;1800;1800;1;1990;BRASIL;BRASIL;AVIAO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;Nao Informado;PRIVADA;DESTRUIDA;1
80756;PTUHE;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-202;IPAN;PISTAO;MONOMOTOR;1800;1800;1;1992;BRASIL;BRASIL;AVIAO;AGRICOLA;NAO IDENTIFICADO;NAO IDENTIFICADO;MANOBRA;ESPECIALIZADA;DESTRUIDA;0
80549;PTGZJ;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-201A;IPAN;PISTAO;MONOMOTOR;1800;1800;1;1983;BRASIL;BRASIL;AVIAO;AGRICOLA;MOLITERNO DE DRACENA;AERODROMO NAO CADASTRADO;DECOLAGEM;AGRICOLA;DESTRUIDA;0
80491;PSRAF;Sem Categoria;AVIAO;AIR TRACTOR;AT-602;AT6T;TURBOELICE;MONOMOTOR;5670;5670;1;2021;BRASIL;BRASIL;AVIAO;PARTICULAR;LUIS EDUARDO MAGALHAES;NAO IDENTIFICADO;DECOLAGEM;PRIVADA;DESTRUIDA;1
80444;PTUMU;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-202;IPAN;PISTAO;MONOMOTOR;1800;1800;1;2001;BRASIL;BRASIL;AVIAO;AGRICOLA;FAZENDA SANTA VERGINIA;FAZENDA SANTA VERGINIA;INDETERMINADA;AGRICOLA;DESTRUIDA;1
80442;PTRTP;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PA34;PISTAO;BIMOTOR;2155;2155;7;1983;BRASIL;BRASIL;AVIAO;PARTICULAR;NAO IDENTIFICADO;NAO IDENTIFICADO;INDETERMINADA;Nao Informado;DESTRUIDA;0
81745;PRAQV;Sem Categoria;AVIAO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOELICE;BIMOTOR;23000;23000;75;0;BRASIL;BRASIL;AVIAO;REGULAR;GUARARAPES - GILBERTO FREYRE;PRESIDENTE JOAO SUASSUNA;CRUZEIRO;REGULAR;NENHUM;0
81743;PRAYW;Sem Categoria;AVIAO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2011;BRASIL;BRASIL;AVIAO;REGULAR;SALGADO FILHO;VIRACOPOS;SUBIDA;REGULAR;NENHUM;0
81742;PRAXK;Sem Categoria;AVIAO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2012;BRASIL;BRASIL;AVIAO;REGULAR;TANCREDO NEVES;SANTOS DUMONT;POUSO;REGULAR;NENHUM;0
81740;PRPJN;Sem Categoria;AVIAO;EMBRAER;ERJ 190-400;E295;JATO;BIMOTOR;61500;61500;143;2019;BRASIL;BRASIL;AVIAO;REGULAR;SANTA GENOVEVA/GOIANIA;TANCREDO NEVES;DESCIDA;REGULAR;NENHUM;0
80428;PTUXD;Sem Categoria;AVIAO;EMBRAER;EMB-202;IPAN;PISTAO;MONOMOTOR;1800;1800;1;2009;BRASIL;BRASIL;AVIAO;ESPECIALIZADA;NAO IDENTIFICADO;NAO IDENTIFICADO;MANOBRA;AGRICOLA;DESTRUIDA;0
81736;PRMHE;Sem Categoria;AVIAO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2007;BRASIL;BRASIL;AVIAO;REGULAR;PINTO MARTINS;PRESIDENTE JUSCELINO KUBITSCHEK;CRUZEIRO;REGULAR;NENHUM;0
81734;PRYYH;Sem Categoria;AVIAO;AIRBUS S.A.S.;A320-251N;A20N;JATO;BIMOTOR;77000;77000;0;2017;BRASIL;BRASIL;AVIAO;REGULAR;SANTOS DUMONT;SALGADO FILHO;CRUZEIRO;REGULAR;NENHUM;0
81733;PSKZA;Sem Categoria;AVIAO;ECLIPSE AEROSPACE;EA500;Nao Informado;TURBOELICE;SEM TRACAO;2722;2722;0;0;BRASIL;BRASIL;AVIAO;PARTICULAR;BRENNAND;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;POUSO;PRIVADA;NENHUM;0
81732;PUDAY;Sem Categoria;ULTRALEVE;PARADISE INDUSTRIA AERONAUTICA LTDA;P1 LSA;ZZZZ;PISTAO;MONOMOTOR;600;600;2;2013;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;CLUBE DE ULTRALEVES DO PIAUI;FAZENDA SANTO ANJO;SUBIDA;PRIVADA;SUBSTANCIAL;0
80406;PPWRS;Sem Categoria;AVIAO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTAO;BIMOTOR;2155;2155;7;1981;BRASIL;BRASIL;AVIAO;PARTICULAR;AERODROMO ESTADUAL DE CAMPINAS / AMARAIS;JACAREPAGUA;CRUZEIRO;PRIVADA;DESTRUIDA;1
81730;PTEHQ;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-720C;PA32;PISTAO;MONOMOTOR;1542;1542;6;1977;BRASIL;BRASIL;AVIAO;NAO REGULAR;MARECHAL CUNHA MACHADO;RANCHO SUMIDOR;TAXI;PRIVADA;NENHUM;0
81729;PRAXE;Sem Categoria;AVIAO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2012;BRASIL;BRASIL;AVIAO;REGULAR;GUARARAPES - GILBERTO FREYRE;PINTO MARTINS;CRUZEIRO;REGULAR;NENHUM;0
80294;PSCSM;Sem Categoria;AVIAO;TEXTRON AVIATION;B200GT;BE20;TURBOELICE;BIMOTOR;5670;5670;8;2019;BRASIL;BRASIL;AVIAO;PARTICULAR;PEDRO MORGANTI;NAO IDENTIFICADO;DECOLAGEM;PRIVADA;DESTRUIDA;7
80285;PTJIH;Sem Categoria;AVIAO;CESSNA AIRCRAFT;182P;C182;PISTAO;MONOMOTOR;1338;1338;4;1974;BRASIL;BRASIL;AVIAO;PARTICULAR;NAO IDENTIFICADO;NAO IDENTIFICADO;SUBIDA;PRIVADA;DESTRUIDA;1
80119;PTKCH;Sem Categoria;AVIAO;CESSNA AIRCRAFT;310Q;C310;PISTAO;BIMOTOR;2404;2404;6;1974;BRASIL;BRASIL;AVIAO;PARTICULAR;AGROPASTORIL BOM PASTOR;AGROPASTORIL BOM PASTOR;CRUZEIRO;PRIVADA;DESTRUIDA;4
80091;PPXZE;Sem Categoria;AVIAO;ACS-INDUSTRIA AERONAUTICA LTDA;ACS-330;Nao Informado;Nao Informado;SEM TRACAO;0;0;0;0;BRASIL;BRASIL;AVIAO;EXPERIMENTAL;EMBRAER - UNIDADE GAVIAO PEIXOTO;EMBRAER - UNIDADE GAVIAO PEIXOTO;CRUZEIRO;EXPERIMENTAL;DESTRUIDA;0
80089;PRABN;Sem Categoria;AVIAO;PIPER AIRCRAFT;PA-25-235;PA25;PISTAO;MONOMOTOR;1315;1315;1;1963;BRASIL;BRASIL;AVIAO;AGRICOLA;LEME;LEME;MANOBRA;AGRICOLA;DESTRUIDA;0
80074;PRFPR;Sem Categoria;AVIAO;CESSNA AIRCRAFT;210N;C210;PISTAO;MONOMOTOR;1724;1724;6;1981;BRASIL;BRASIL;AVIAO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;VOO A BAIXA ALTURA;PRIVADA;DESTRUIDA;3
81720;PRCBE;Sem Categoria;AVIAO;CIRRUS DESIGN;SR22;SR22;PISTAO;MONOMOTOR;1542;1542;5;2013;BRASIL;BRASIL;AVIAO;PARTICULAR;PROFESSOR URBANO ERNESTO STUMPF;CAMPO DE MARTE;POUSO;PRIVADA;NENHUM;0
81719;PRPDP;Sem Categoria;Desconhecida;ATR - GIE AVIONS DE TRANSPORT REGIONAL;ATR-42-500;AT45;TURBOELICE;BIMOTOR;18600;18600;48;1999;BRASIL;BRASIL;Nao Informado;REGULAR;EDUARDO GOMES;PORTO URUCU;DECOLAGEM;REGULAR;NENHUM;0
80002;PTGPU;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-201;IPAN;PISTAO;MONOMOTOR;1800;1800;1;0;BRASIL;BRASIL;AVIAO;ESPECIALIZADA;NAO IDENTIFICADO;NAO IDENTIFICADO;CRUZEIRO;AGRICOLA;DESTRUIDA;1
81717;PRYXT;Sem Categoria;Desconhecida;FABRICANTE DESCONHECIDO;MODELO DESCONHECIDO;Nao Informado;Nao Informado;Nao Informado;0;0;0;0;BRASIL;BRASIL;Nao Informado;REGULAR;TANCREDO NEVES;TENENTE-CORONEL AVIADOR CESAR BOMBONATO;SUBIDA;REGULAR;NENHUM;0
79976;PTNOF;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-711C;P28R;PISTAO;MONOMOTOR;1202;1202;4;1977;BRASIL;BRASIL;AVIAO;PARTICULAR;NAO IDENTIFICADO;NAO IDENTIFICADO;DECOLAGEM;PRIVADA;DESTRUIDA;2
81713;PSIBA;Sem Categoria;HELICOPTERO;AGUSTA;AW119MKII;Nao Informado;TURBOEIXO;SEM TRACAO;2850;2850;0;0;BRASIL;BRASIL;HELICOPTERO;MULTIPLA;ATLAS BRASIL CANTANHEDE;ATLAS BRASIL CANTANHEDE;CRUZEIRO;PRIVADA;LEVE;0
79870;PTWVZ;Sem Categoria;AVIAO;AIR TRACTOR;AT-402A;AT3T;TURBOELICE;MONOMOTOR;3175;3175;1;1998;BRASIL;BRASIL;AVIAO;AGRICOLA;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;AGRICOLA;DESTRUIDA;0
79866;PTIRJ;Sem Categoria;AVIAO;CESSNA AIRCRAFT;210L;C210;PISTAO;MONOMOTOR;1723;1723;6;1973;BRASIL;BRASIL;AVIAO;PARTICULAR;ALENQUER;FORA DE AERODROMO;CRUZEIRO;PRIVADA;DESTRUIDA;0
79854;PTWUU;Sem Categoria;AVIAO;CESSNA AIRCRAFT;T188C;C188;PISTAO;MONOMOTOR;1996;1996;1;1978;BRASIL;BRASIL;AVIAO;AGRICOLA;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;AGRICOLA;DESTRUIDA;1
79755;PTKCK;Sem Categoria;AVIAO;CESSNA AIRCRAFT;177B;C177;PISTAO;MONOMOTOR;1334;1334;4;1974;BRASIL;BRASIL;AVIAO;PARTICULAR;MANOEL RIBAS;MUNICIPAL DE GUARATUBA;CRUZEIRO;PRIVADA;DESTRUIDA;4
81708;PRVJF;Sem Categoria;AVIAO;CESSNA AIRCRAFT;172RG;C72R;PISTAO;MONOMOTOR;1202;1202;4;1982;BRASIL;BRASIL;AVIAO;PARTICULAR;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;CRISTIANO FERREIRA VARELLA;TAXI;PRIVADA;NENHUM;0
81707;PPEOS;Sem Categoria;HELICOPTERO;HELIBRAS;AS 350 B2;AS50;TURBOEIXO;MONOMOTOR;2250;2250;6;2000;BRASIL;BRASIL;HELICOPTERO;ADMINISTRACAO DIRETA;CAMPO DE MARTE;FORA DE AERODROMO;POUSO;POLICIAL;NENHUM;0
79669;PTOOQ;Sem Categoria;AVIAO;BEECH AIRCRAFT;95-B55;BE55;PISTAO;BIMOTOR;2318;2318;6;1979;BRASIL;BRASIL;AVIAO;PARTICULAR;NAO IDENTIFICADO;NAO IDENTIFICADO;Nao Informado;PRIVADA;DESTRUIDA;1
79565;PTNDL;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-710C;P28B;PISTAO;MONOMOTOR;1361;1361;4;1976;BRASIL;BRASIL;AVIAO;PARTICULAR;NAO IDENTIFICADO;NAO IDENTIFICADO;DECOLAGEM;PRIVADA;DESTRUIDA;0
81704;PRUEA;Sem Categoria;HELICOPTERO;EUROCOPTER DEUTSCHLAND;BK 117 C-2;EC45;TURBOEIXO;BIMOTOR;3585;3585;0;0;BRASIL;BRASIL;HELICOPTERO;ADMINISTRACAO DIRETA;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;FORA DE AERODROMO;DECOLAGEM VERTICAL;ESPECIALIZADA;LEVE;0
81701;PRAYL;Sem Categoria;AVIAO;EMBRAER;ERJ 190-200 LR;E195;JATO;BIMOTOR;52290;52290;125;2010;BRASIL;BRASIL;AVIAO;REGULAR;VIRACOPOS;SANTA GENOVEVA/GOIANIA;SUBIDA;REGULAR;NENHUM;0
81700;PRAQZ;Sem Categoria;AVIAO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOELICE;BIMOTOR;23000;23000;75;2015;BRASIL;BRASIL;AVIAO;REGULAR;VIRACOPOS;CORONEL ALTINO MACHADO;POUSO;REGULAR;NENHUM;0
81699;PRFKF;Sem Categoria;HELICOPTERO;LEONARDO S.P.A.;AW119MKII;A119;TURBOEIXO;MONOMOTOR;2850;2850;0;2022;BRASIL;BRASIL;HELICOPTERO;ADMINISTRACAO DIRETA;ATLAS BRASIL CANTANHEDE;FORA DE AERODROMO;ARREMETIDA NO AR;POLICIAL;LEVE;0
79542;PTZOT;Sem Categoria;AVIAO;FLYER INDUSTRIA AERONAUTICA LTDA;RV-10;ZZZZ;PISTAO;MONOMOTOR;1224;1224;4;2010;BRASIL;BRASIL;AVIAO;PARTICULAR;NAO IDENTIFICADO;NAO IDENTIFICADO;Nao Informado;PRIVADA;DESTRUIDA;1
79510;PTAFN;Sem Categoria;AVIAO;BEECH AIRCRAFT;C35;BE35;PISTAO;MONOMOTOR;1225;1225;4;1951;BRASIL;BRASIL;AVIAO;PARTICULAR;NOSSA SENHORA DE FATIMA;NAO IDENTIFICADO;DECOLAGEM;PRIVADA;DESTRUIDA;1
79445;PRNCF;Sem Categoria;AVIAO;CESSNA AIRCRAFT;210N;C210;PISTAO;MONOMOTOR;1724;1724;6;1981;BRASIL;BRASIL;AVIAO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;Nao Informado;PRIVADA;DESTRUIDA;0
81693;PRGTM;Sem Categoria;AVIAO;BOEING COMPANY;737-8EH;B738;TURBOEIXO;BIMOTOR;70533;70533;187;2007;BRASIL;BRASIL;AVIAO;REGULAR;PINTO MARTINS;PRESIDENTE JUSCELINO KUBITSCHEK;CRUZEIRO;REGULAR;NENHUM;0
79437;PROFI;Sem Categoria;AVIAO;BEECH AIRCRAFT;58;BE58;PISTAO;BIMOTOR;2449;2449;6;1975;BRASIL;BRASIL;AVIAO;PARTICULAR;GASTAO MADEIRA;CAMPO DE MARTE;ARREMETIDA NO AR;PRIVADA;DESTRUIDA;1
79404;PTMBV;Sem Categoria;AVIAO;EMBRAER;EMB-121A;E121;TURBOELICE;BIMOTOR;5670;5670;7;1982;BRASIL;BRASIL;AVIAO;PARTICULAR;NAO IDENTIFICADO;AERODROMO NACIONAL DE AVIACAO;SUBIDA;PRIVADA;DESTRUIDA;2
81690;PRGEE;Sem Categoria;AVIAO;BOEING COMPANY;737-73V;B737;JATO;BIMOTOR;70080;70080;152;2002;BRASIL;BRASIL;AVIAO;REGULAR;ANTONIO CARLOS JOBIM / GALEAO;GOVERNADOR ANDRE FRANCO MONTORO;TAXI;REGULAR;NENHUM;0
81689;PRBGU;Sem Categoria;Desconhecida;FABRICANTE DESCONHECIDO;MODELO DESCONHECIDO;Nao Informado;Nao Informado;SEM TRACAO;0;0;0;0;BRASIL;BRASIL;Nao Informado;TAXI AEREO;JACAREPAGUA;AERODROMO NAO CADASTRADO;DECOLAGEM;TAXI AEREO;NENHUM;0
81688;PTRBN;Sem Categoria;AVIAO;EMBRAER;EMB-810C;PA34;PISTAO;BIMOTOR;2073;2073;6;1980;BRASIL;BRASIL;AVIAO;PARTICULAR;AERODROMO NAO CADASTRADO;AGRICOLA RIO GALHAO;CRUZEIRO;PRIVADA;NENHUM;0
79365;PTVEH;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PA34;PISTAO;BIMOTOR;2155;2155;6;1987;BRASIL;BRASIL;AVIAO;PARTICULAR;TIETÊ;DOUTOR RAMALHO FRANCO;DECOLAGEM;PRIVADA;DESTRUIDA;2
79347;PTRMN;Sem Categoria;AVIAO;EMBRAER;EMB-810C;PA34;PISTAO;BIMOTOR;2073;2073;7;1982;BRASIL;BRASIL;AVIAO;TAXI AEREO;VIRGILIO TAVORA;SENADOR PETRÔNIO PORTELLA;CRUZEIRO;TAXI AEREO;DESTRUIDA;4
79308;PRDTY;Sem Categoria;AVIAO;PIPER AIRCRAFT;PA-25-260;Nao Informado;Nao Informado;SEM TRACAO;1315;1315;0;0;BRASIL;BRASIL;AVIAO;ESPECIALIZADA;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMACAO FINAL;AGRICOLA;DESTRUIDA;1
79302;PPZCA;Sem Categoria;AVIAO;IVAN CESAR ROSSONI;RV-7A;ZZZZ;PISTAO;MONOMOTOR;816;816;2;2010;BRASIL;BRASIL;AVIAO;PARTICULAR;FAZENDA MONTESION;FAZENDA MONTESION;MANOBRA;PRIVADA;DESTRUIDA;0
81680;PPNBZ;Sem Categoria;AVIAO;AIR TRACTOR;AT-802;AT8T;TURBOELICE;MONOMOTOR;7258;7258;2;2011;BRASIL;BRASIL;AVIAO;ADMINISTRACAO DIRETA;PRESIDENTE JUSCELINO KUBITSCHEK;PRESIDENTE JUSCELINO KUBITSCHEK;CORRIDA APOS POUSO;ESPECIALIZADA;NENHUM;0
79301;PTUTH;Sem Categoria;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-202A;IPAN;PISTAO;MONOMOTOR;1800;1800;1;2005;BRASIL;BRASIL;AVIAO;PARTICULAR;LUIS EDUARDO MAGALHAES;NAO IDENTIFICADO;CRUZEIRO;AGRICOLA;DESTRUIDA;1
79285;PPXLD;Sem Categoria;AVIAO;FABRICANTE DESCONHECIDO;COMP AIR;ZZZZ;TURBOELICE;MONOMOTOR;2727;2727;7;2004;BRASIL;BRASIL;AVIAO;EXPERIMENTAL;LUIZ EDUARDO MAGALHAES;VERA CRUZ;DECOLAGEM;PRIVADA;DESTRUIDA;1
